"id","listing_url","host_id","host_url","host_name","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","neighborhood","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","zip_code"
"30505637",https://www.airbnb.com/rooms/30505637,"11362363",https://www.airbnb.com/users/show/11362363,Dave,within a day,1.00000000000000000000,0.35000000000000000000,t,"1",Inner Richmond,"37.78075",-122.47332,Entire home/apt,8,2.5,4,6,875.00,t,1,10,10,151,31,5.0,4.93,4.93,4.93,5.0,4.86,4.86,1,"0.49","94118"
"26945594",https://www.airbnb.com/rooms/26945594,"81333068",https://www.airbnb.com/users/show/81333068,Laura,within a day,1.00000000000000000000,0.50000000000000000000,f,"1",Mission,"37.74924",-122.41812,Entire home/apt,4,1.0,2,2,90.00,t,0,0,0,81,12,5.0,5.0,5.0,5.0,5.0,4.92,4.92,1,"0.18","94110"
"37884799",https://www.airbnb.com/rooms/37884799,"20859407",https://www.airbnb.com/users/show/20859407,Doris,within a few hours,0.80000000000000000000,0.69000000000000000000,f,"5",Excelsior,"37.72042",-122.43736,Entire home/apt,4,2.0,2,2,143.00,t,29,59,89,364,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,"0.07","94112"
"996350021555212092",https://www.airbnb.com/rooms/996350021555212092,"21080738",https://www.airbnb.com/users/show/21080738,Andre,within an hour,1.00000000000000000000,0.96000000000000000000,f,"1",Potrero Hill,"37.75637",-122.39411,Entire home/apt,4,2.0,2,3,226.00,t,3,12,12,12,12,5.0,5.0,5.0,4.83,5.0,5.0,4.92,1,"3.21","94107"
"35494116",https://www.airbnb.com/rooms/35494116,"102523118",https://www.airbnb.com/users/show/102523118,Music City,within an hour,0.98000000000000000000,1.00000000000000000000,f,"11",Nob Hill,"37.79298",-122.42124,Shared room,1,1.0,1,1,34.00,t,29,59,89,350,220,4.63,4.73,4.58,4.78,4.81,4.57,4.61,11,"3.99","94109"
"813358524159166635",https://www.airbnb.com/rooms/813358524159166635,"472328815",https://www.airbnb.com/users/show/472328815,Reema,within an hour,1.00000000000000000000,0.82000000000000000000,t,"2",Glen Park,"37.740473248033425",-122.42988806253996,Entire home/apt,2,1.0,1,0,130.00,t,29,59,89,364,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,"0.19","94131"
"3475515",https://www.airbnb.com/rooms/3475515,"13832870",https://www.airbnb.com/users/show/13832870,International,within a few hours,1.00000000000000000000,0.33000000000000000000,t,"22",Pacific Heights,"37.79608",-122.43571,Entire home/apt,4,1.0,2,2,170.00,t,28,58,88,178,4,4.25,4.5,4.25,4.25,4.25,5.0,4.5,21,"0.03","94115"
"21311875",https://www.airbnb.com/rooms/21311875,"4430421",https://www.airbnb.com/users/show/4430421,Landmark,within a few hours,0.94000000000000000000,0.92000000000000000000,f,"149",Mission,"37.76386",-122.41838,Entire home/apt,3,1.0,1,1,104.00,t,27,57,87,177,1,4.0,5.0,5.0,5.0,5.0,3.0,4.0,149,"0.06","94110"
"37427876",https://www.airbnb.com/rooms/37427876,"2122871",https://www.airbnb.com/users/show/2122871,David,within an hour,1.00000000000000000000,0.98000000000000000000,t,"1",Western Addition,"37.77353",-122.42822,Private room,2,1.0,1,1,82.00,t,5,14,28,28,120,4.94,4.95,4.78,4.98,4.98,4.95,4.92,1,"2.20","94115"
"43221081",https://www.airbnb.com/rooms/43221081,"102405067",https://www.airbnb.com/users/show/102405067,Ping,within an hour,1.00000000000000000000,1.00000000000000000000,t,"2",Bayview,"37.73678",-122.39551,Entire home/apt,7,2.0,3,5,128.00,t,0,29,59,149,61,4.79,4.89,4.85,4.92,4.85,4.26,4.59,2,"1.30","94124"
